#GEN	TIME		EVAL	BEST		AVG		STDDEV		WORST

74	3.59		750000		7.53e+29  7.53e+29  8.55e+22  7.53e+29
75	3.64		760000		7.53e+29  7.53e+29  1.08e+23  7.53e+29
76	3.68		770000		7.53e+29  7.53e+29  1.10e+23  7.53e+29
77	3.74		780000		7.53e+29  7.53e+29  7.24e+22  7.53e+29
78	3.79		790000		7.53e+29  7.53e+29  2.11e+22  7.53e+29
79	3.84		800000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
80	3.89		810000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
81	3.98		820000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
82	4.6		830000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
83	4.12		840000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
84	4.18		850000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
85	4.24		860000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
86	4.31		870000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
87	4.42		880000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
88	4.51		890000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
89	4.58		900000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
90	4.64		910000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
91	4.71		920000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
92	4.78		930000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
93	4.82		940000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
94	4.87		950000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
95	4.92		960000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
96	4.98		970000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
97	5.3		980000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
98	5.9		990000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
99	5.14		1000000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
100	5.20		1010000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
101	5.25		1020000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
102	5.31		1030000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
103	5.36		1040000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
104	5.40		1050000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
105	5.44		1060000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
106	5.49		1070000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
107	5.53		1080000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
108	5.57		1090000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
109	5.62		1100000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
110	5.67		1110000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
111	5.71		1120000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
112	5.77		1130000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
113	5.83		1140000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
114	5.88		1150000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
115	5.92		1160000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
116	5.99		1170000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
117	6.5		1180000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
118	6.10		1190000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
119	6.15		1200000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
120	6.21		1210000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
121	6.27		1220000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
122	6.33		1230000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
123	6.39		1240000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
124	6.46		1250000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
125	6.52		1260000		7.53e+29  7.53e+29  0.00e+00  7.53e+29
